Country	Item Type	Order ID	Units Sold	Total Profit
Albania	Baby Food	752525556	7890	756335.4
Albania	Personal Care	104191863	1543	38667.58
Algeria	Cosmetics	761723172	9669	1681149.03
Antigua and Barbuda 	Office Supplies	286891067	6297	794996.25
Belgium	Personal Care	222504317	2827	70844.62
Belize	Personal Care	315402734	3533	88536.98
Brunei	Cereal	153842341	4222	374026.98
Burundi	Beverages	529276502	3533	55326.78
Canada	Cosmetics	368977391	7464	1297765.68
China	Office Supplies	198927056	5791	731113.75
Czech Republic	Cosmetics	726137769	9157	1592127.59
Democratic Republic of the Congo	Cosmetics	584356629	2967	515872.29
Djibouti	Clothes	880811536	562	41273.28
Dominica	Household	274930989	7044	1167402.12
Dominica	Beverages	438011872	6301	98673.66
Dominican Republic	Baby Food	824714744	274	26265.64
East Timor	Cereal	156295812	259	22944.81
Egypt	Clothes	882908809	1192	87540.48
Estonia	Household	835696351	9976	1653322.48
Ethiopia	Cosmetics	807785928	662	115101.94
Finland	Household	757257401	8148	1350368.04
Finland	Vegetables	642134416	698	44064.74
France	Cosmetics	324669444	5758	1001143.46
Ghana	Clothes	791778934	3836	281715.84
Ghana	Office Supplies	601245963	896	113120.0
Ghana	Fruits	496523940	1323	3188.43
Greece	Cereal	887124383	8674	768429.66
Haiti	Office Supplies	485070693	2052	259065.0
Iceland	Baby Food	678230941	2462	236007.32
India	Snacks	440306556	5349	294943.86
Indonesia	Personal Care	678896129	9306	233208.36
Indonesia	Household	520480573	623	103249.79
Israel	Beverages	371502530	4709	73742.94
Italy	Cereal	294530856	7080	627217.2
Italy	Office Supplies	797385394	2913	367766.25
Italy	Cereal	887409770	3126	276932.34
Japan	Household	747796285	8393	1390971.89
Kazakhstan	Snacks	710296428	1352	74549.28
Kuwait	Household	459386289	1466	242960.18
Lebanon	Meat	704205024	8770	501644.0
Liberia	Baby Food	146634709	1324	126918.64
Madagascar	Clothes	494570004	3110	228398.4
Malawi	Meat	450544869	5094	291376.8
Malaysia	Beverages	955894076	9154	143351.64
Mali	Household	363086831	4317	715456.41
Mali	Baby Food	290227735	3691	353819.26
Mauritius 	Clothes	349235904	5520	405388.8
Moldova 	Fruits	180908620	3736	9003.76
Monaco	Beverages	467399013	2609	40856.94
Montenegro	Clothes	902511680	2117	155472.48
Morocco	Clothes	667593514	4611	338631.84
Nepal	Meat	179137074	9496	543171.2
Netherlands	Fruits	845056617	9887	23827.67
New Zealand	Beverages	940980136	5788	90640.08
Nicaragua	Household	573998582	7791	1291202.43
Nicaragua	Baby Food	343752610	2891	277131.26
Oman	Cosmetics	358570849	7937	1380006.19
Pakistan	Meat	500371730	9969	570226.8
Papua New Guinea	Clothes	647164094	9092	667716.48
Papua New Guinea	Meat	940995585	360	20592.0
Romania	Cereal	633134210	7337	649984.83
Romania	Beverages	756839835	4581	71738.46
Rwanda	Fruits	699160754	6059	14602.19
Saint Lucia	Fruits	731120240	3581	8630.21
Samoa 	Household	937431466	5657	937534.61
Sao Tome and Principe	Clothes	548299157	2760	202694.4
Serbia	Clothes	925136649	7348	539637.12
Seychelles 	Beverages	425793445	597	9349.02
Singapore	Snacks	176461303	7676	423254.64
Slovakia	Beverages	174590194	3973	62217.18
Solomon Islands	Household	101328551	4225	700209.25
South Africa	Fruits	443368995	1593	3839.13
South Korea	Meat	297876536	7141	408465.2
Sri Lanka	Fruits	830192887	1379	3323.39
Sweden	Beverages	265081918	2485	38915.1
Switzerland	Office Supplies	830410039	5639	711923.75
Taiwan	Cereal	498071897	9397	832480.23
Taiwan	Fruits	732588374	8034	19361.94
Tanzania	Cosmetics	739008080	7768	1350622.16
Tanzania	Fruits	156530129	9599	23133.59
Tanzania	Beverages	659878194	1476	23114.16
Thailand	Meat	252889239	4401	251737.2
Thailand	Fruits	434008300	1555	3747.55
The Bahamas	Personal Care	246248090	9137	228973.22
The Bahamas	Fruits	488121116	4740	11423.4
The Gambia	Fruits	862861335	8699	20964.59
Togo	Cosmetics	563681733	4806	835619.22
Tonga	Baby Food	839094388	5531	530201.66
Tunisia 	Cosmetics	479969346	2450	425981.5
Turkmenistan	Vegetables	116205585	6670	421077.1
Turkmenistan	Meat	757619178	5206	297783.2
Uganda	Cosmetics	842238795	6031	1048609.97
Uganda	Personal Care	539471471	451	11302.06
United Arab Emirates	Office Supplies	425418365	9603	1212378.75
United Kingdom	Cosmetics	135178029	1038	180477.06
United States of America	Personal Care	190777862	4264	106855.84
Vanuatu	Cereal	572335612	5681	503279.79
Vanuatu	Fruits	571997869	5735	13821.35
Vietnam	Personal Care	314505374	7984	200079.04
Zimbabwe	Office Supplies	953361213	9623	1214903.75
