location	distance	lucky_number
sxk93y	12.26210292	0
sx7fky	87.42132851	1387
sxkb8n	26.48510014	0
sxkc5t	29.85549306	447
sx7cv2	84.9052538	0
sxkc3b	23.29901955	1125
sxk9d2	10.06896613	1146
sxkc61	23.8124228	0
sxkbj4	47.48090093	0
sxkdqn	13.22120812	342
sxk9rf	16.50589299	1076
sxk6qz	23.73869961	0
sxk1ud	58.15870528	86
sxk976	11.08099136	0
sxkcu9	30.3334259	708
sxk3x0	20.59663272	0
sx7cxu	75.80418939	0
sxk91u	16.8892693	244
sxkd1p	14.12032318	0
sxk964	13.3789998	0
sxk9q6	12.7019721	0
sxk91u	16.8892693	605
sxk92h	18.25777504	797
sxk6dc	37.56883117	1546
sx7fmn	86.50886231	0
sxk90h	21.15058729	0
sxkb86	29.06003376	0
sxk6m1	28.13650317	1382
sxk97h	10.32731554	0
sxk99j	12.63366793	0
sx7ghc	89.63831259	1138
sxkbd9	34.47114454	0
sxkbuk	35.00908977	0
sx7cwn	82.18483106	0
sxkc4b	29.04328638	929
sxk8z8	24.49973279	473
sxkc0g	22.09390754	1058
sxk3c6	40.6521155	1076
sxkceq	25.88694914	305
sxkf1x	20.584085	637
sxk94q	14.87584674	0
sxkc05	20.11171383	0
sxk3zz	16.86105466	0
sxk96r	10.48855229	647
sxk9md	11.34658633	0
sxk3pu	21.84742512	0
sxk8xm	25.71213389	0
sxk6k7	31.1394544	0
sxkcdj	21.41604114	442
sxk4rx	48.61492902	0
sxk448	65.58113014	380
sxkbgg	33.82451699	1457
sxkbg9	33.81676026	1393
sxk987	15.64059198	0
sxk3w8	22.34689338	0
sxk9ks	9.226061101	1154
sxk9dq	8.082921534	738
sxkbe4	35.29005751	0
sxk4jm	55.70008961	0
sxk3qd	23.71821414	1452
sxk60v	42.9060648	0
sxk1x1	49.34150242	610
sxkc53	30.25140433	0
sxk9wb	11.33968745	253
sxk9p8	20.35978055	1604
sxk6x0	23.28446047	0
sxkbge	33.07655287	1357
sxk66m	38.53209317	1574
sxk9m9	11.91026442	1601
sxk3r8	21.11801834	474
sxkdrk	15.08430083	0
sxk1g4	63.68725326	0
sxkd94	18.51920994	833
sxkbbz	23.79258003	670
sxkc6h	23.01825962	0
sxk40m	74.03783126	0
sxk66k	38.3636794	0
