vehicle_ID	location	distance	speed
1	sx7chk	89.75664429	78
2	sx7chm	89.65909619	78
3	sx7chx	88.56278951	73
4	sx7ck9	88.39471496	62
5	sx7ckc	87.47986961	75
6	sx7ckf	87.40132487	82
7	sx7cm5	86.41083495	69
8	sx7cmm	85.35620236	82
9	sx7cmq	85.29339166	76
10	sx7cmw	84.3755372	83
11	sx7cmx	84.31650728	82
12	sx7cmz	83.3981698	75
13	sx7ctz	83.0819672	90
14	sx7cu3	88.57620824	87
15	sx7cu9	87.65479587	95
16	sx7cv0	85.82658017	70
17	sx7cv1	85.81197598	72
18	sx7cv2	84.9052538	82
19	sx7cw0	82.42421493	57
20	sx7cw9	80.53462384	89
21	sx7cwf	79.56744716	87
22	sx7cwn	82.18483106	96
23	sx7cwp	82.16079415	91
24	sx7cwq	81.26386202	85
25	sx7cwv	79.45130485	86
26	sx7cww	80.34290762	92
27	sx7cx4	78.64791802	84
28	sx7cxk	77.64469537	89
29	sx7cxs	76.72442516	74
30	sx7cxu	75.80418939	73
31	sx7fkq	89.24676688	94
32	sx7fkw	88.33396511	90
33	sx7fky	87.42132851	93
34	sx7fme	84.46321882	83
35	sx7fmk	85.4464909	90
36	sx7fmm	85.51937852	87
37	sx7fmn	86.50886231	90
38	sx7fms	84.53260862	88
39	sx7fpy	75.92224389	91
40	sx7fpz	75.97556078	97
41	sx7fqk	81.7918871	85
42	sx7fqs	80.87863917	88
43	sx7fqu	79.96556351	63
44	sx7fqv	80.0439173	83
45	sx7fqx	81.12442663	90
46	sx7fqy	80.12686062	95
47	sx7fqz	80.21437921	93
48	sx7fr5	78.97798578	84
49	sx7fr6	77.99341258	90
50	sx7fr8	76.94972265	90
51	sx7fr9	77.01196195	95
52	sx7ftz	84.67940577	76
53	sx7fv7	86.98583137	39
54	sx7fvb	84.80161632	77
55	sx7fvc	84.92805331	91
56	sx7fvd	85.95607515	86
57	sx7fve	86.0894276	59
58	sx7fvr	87.5541594	39
59	sx7fw3	82.21893374	90
60	sx7fw5	83.32688185	91
61	sx7fw6	82.31770373	92
62	sx7fw8	81.21539791	78
63	sx7fw9	81.31086559	86
64	sx7fwh	83.43322717	92
65	sx7fwj	83.54391238	87
66	sx7ghb	89.48540402	42
67	sx7ghc	89.63831259	69
68	sx7ghd	90.68238912	41
69	sx7ghk	91.88897132	51
70	sx7ghm	92.05398658	72
71	sx7ghq	92.22276061	75
72	sx7gj0	88.59555284	81
73	sxhzvq	49.91737004	59
74	sxhzvt	50.98978041	27
75	sxhzvw	50.53564417	50
76	sxk18j	74.84826451	82
77	sxk18n	74.81751993	94
78	sxk18p	74.79176175	94
79	sxk18r	73.87068242	89
80	sxk19j	71.16631785	82
81	sxk19m	70.2459076	82
82	sxk19q	70.21354527	86
83	sxk19y	68.37210995	73
84	sxk1b2	73.8497343	95
85	sxk1b9	72.91246703	96
86	sxk1bd	72.90157881	88
87	sxk1by	71.98828057	98
88	sxk1bz	72.0032972	98
89	sxk1ch	71.05246142	81
90	sxk1cm	70.13600973	97
91	sxk1cn	71.06726117	100
92	sxk1ct	69.21479184	97
93	sxk1cv	68.29357739	93
94	sxk1cy	68.30424942	61
95	sxk1dn	67.45142909	70
96	sxk1dt	65.64437989	47
97	sxk1dv	64.72418958	49
98	sxk1dw	65.61014618	52
99	sxk1dx	65.58159582	43
100	sxk1dz	64.66066712	43
101	sxk1ej	63.80404161	74
102	sxk1ek	62.92536109	66
103	sxk1em	62.88393783	71
104	sxk1fb	64.6375594	52
105	sxk1fj	67.37236655	88
106	sxk1fp	67.39970326	74
107	sxk1fq	66.46228364	89
108	sxk1fu	64.60294513	91
109	sxk1fv	64.60875731	92
110	sxk1g4	63.68725326	53
111	sxk1g5	63.68148557	73
112	sxk1ge	61.83861593	93
113	sxk1gg	60.91718075	91
114	sxk1gh	63.6815887	84
115	sxk1qx	51.33648042	61
116	sxk1qy	50.51913498	76
117	sxk1qz	50.42426444	79
118	sxk1rg	47.23312029	82
119	sxk1rm	48.8049276	75
120	sxk1rn	49.60894469	60
121	sxk1rq	48.6991962	79
122	sxk1rs	48.01278547	71
123	sxk1ru	47.10814549	80
124	sxk1s5	60.21626594	87
125	sxk1s7	59.29763806	75
126	sxk1se	58.37910817	75
127	sxk1sh	60.16699981	87
128	sxk1t4	56.60107232	78
129	sxk1t6	55.68375681	72
130	sxk1t9	54.83386671	47
131	sxk1tc	53.91792554	68
132	sxk1td	54.76659112	43
133	sxk1te	54.70606761	52
134	sxk1tg	53.78810493	86
135	sxk1tr	55.45257211	92
136	sxk1tt	54.60536411	94
137	sxk1tv	53.68583456	87
138	sxk1tw	54.56522167	91
139	sxk1tx	54.53190632	94
140	sxk1u4	60.00154953	94
141	sxk1u5	59.99574532	92
142	sxk1u6	59.08012671	90
143	sxk1uc	57.24966354	89
144	sxk1ud	58.15870528	91
145	sxk1uf	57.23728534	82
146	sxk1v1	56.32836995	85
147	sxk1w0	53.07858931	83
148	sxk1w1	53.00218808	75
149	sxk1w2	52.1643302	80
150	sxk1w6	52.01607234	93
151	sxk1w7	51.95258078	95
152	sxk1wc	50.25630944	93
153	sxk1wf	50.18329789	93
154	sxk1wh	52.81481264	93
155	sxk1x1	49.34150242	95
156	sxk1x3	48.42696131	89
157	sxk1x9	47.51270148	89
158	sxk1xb	46.68505062	68
159	sxk1xc	46.59873949	86
160	sxk1xd	47.43570341	89
161	sxk1xf	46.52030593	92
162	sxk1zz	46.2302757	50
163	sxk323	45.713783	76
164	sxk325	46.33152952	84
165	sxk326	45.56838895	80
166	sxk329	44.8194169	85
167	sxk333	42.14349902	69
168	sxk336	41.98605475	69
169	sxk33d	41.0934025	70
170	sxk33f	40.20207915	69
171	sxk33g	40.04649123	55
172	sxk33t	40.66246163	75
173	sxk33u	39.89966823	54
174	sxk33v	39.76170727	60
175	sxk33w	40.53624738	51
176	sxk33x	40.41889028	80
177	sxk35r	35.48236673	33
178	sxk365	39.15312642	73
179	sxk367	38.26112286	64
180	sxk36s	37.21343111	64
181	sxk36u	36.32068117	54
182	sxk372	35.27467374	28
183	sxk373	35.07641149	37
184	sxk376	34.88774076	42
185	sxk377	34.70881795	50
186	sxk37c	33.33063443	67
187	sxk37d	34.00878496	63
188	sxk37e	33.82528782	52
189	sxk37f	33.13217419	53
190	sxk37h	35.4294303	55
191	sxk37r	34.09355018	40
192	sxk384	45.60516559	92
193	sxk387	44.6170462	99
194	sxk38t	43.57696075	88
195	sxk38w	43.5276882	91
196	sxk38x	43.48695831	92
197	sxk38y	42.6084084	87
198	sxk38z	42.56687666	64
199	sxk393	41.12233495	85
200	sxk396	41.03392379	68
201	sxk397	40.95445207	80
202	sxk39j	41.74051823	89
203	sxk3bb	42.53409555	83
204	sxk3bc	42.51008529	87
205	sxk3bd	43.41623985	91
206	sxk3be	43.40987069	79
207	sxk3bf	42.49486076	95
208	sxk3bm	44.34398265	73
209	sxk3bp	45.31028871	57
210	sxk3bq	44.36296133	83
211	sxk3bs	43.41211393	86
212	sxk3bt	43.42296823	105
213	sxk3c4	41.57348587	93
214	sxk3c6	40.6521155	93
215	sxk3c7	40.64555232	91
216	sxk3ce	39.72411254	92
217	sxk3cg	38.80267261	93
218	sxk3e3	33.84805583	37
219	sxk3e6	33.74126417	36
220	sxk3eg	31.82261652	99
221	sxk3ek	33.56009962	46
222	sxk3em	33.48590212	41
223	sxk3eq	33.42272837	54
224	sxk3er	33.37064098	36
225	sxk3eu	31.732735	96
226	sxk3ev	31.65441195	92
227	sxk3ew	32.50511392	87
228	sxk3ex	32.45163163	59
229	sxk3ey	31.58773336	87
230	sxk3f5	37.88123253	95
231	sxk3f6	36.96668621	88
232	sxk3f7	36.95979231	89
233	sxk3fd	36.04534402	95
234	sxk3ff	35.12400887	92
235	sxk3g2	33.32969191	89
236	sxk3g3	33.29992227	85
237	sxk3g4	34.20268133	91
238	sxk3g8	32.40959946	49
239	sxk3g9	32.37906199	41
240	sxk3gb	31.48959251	38
241	sxk3gc	31.45824011	37
242	sxk3gd	32.36005178	40
243	sxk3gk	33.27793359	37
244	sxk3gm	33.29306881	34
245	sxk3gq	33.31942038	53
246	sxk3gr	33.3569617	64
247	sxk3gs	32.35668204	55
248	sxk3he	32.23836752	32
249	sxk3hs	31.96324962	55
250	sxk3ht	31.69754077	55
251	sxk3hv	30.86515754	35
252	sxk3hw	31.44147951	37
253	sxk3hx	31.19530341	47
254	sxk3hz	30.34929156	29
255	sxk3j5	30.6079108	28
256	sxk3j6	30.10914472	18
257	sxk3j7	29.80205363	23
258	sxk3jd	29.3185332	20
259	sxk3je	29.00313965	19
260	sxk3jf	28.53583425	18
261	sxk3jg	28.21175873	30
262	sxk3jh	30.31814193	36
263	sxk3jk	29.50444009	20
264	sxk3jm	29.21659372	24
265	sxk3jp	29.50784615	28
266	sxk3jq	28.93880598	36
267	sxk3jr	28.67136923	37
268	sxk3js	28.69731015	21
269	sxk3jt	28.40135365	26
270	sxk3jw	28.11558195	37
271	sxk3k1	32.46183064	32
272	sxk3k2	31.81570317	40
273	sxk3k3	31.59604978	33
274	sxk3k8	30.95924828	47
275	sxk3k9	30.73354734	74
276	sxk3kb	30.106676	31
277	sxk3kd	30.5184303	70
278	sxk3ke	30.31412249	44
279	sxk3kf	29.65333303	28
280	sxk3ks	30.12084386	28
281	sxk3kt	29.93880802	25
282	sxk3ku	29.24413606	26
283	sxk3kv	29.05668303	29
284	sxk3kw	29.76822123	26
285	sxk3kx	29.60928136	21
286	sxk3ky	28.88096159	34
287	sxk3kz	28.7171871	26
288	sxk3m1	29.01954597	25
289	sxk3m2	28.41457575	34
290	sxk3m4	28.79177397	16
291	sxk3n4	27.76171715	23
292	sxk3n5	27.42856294	28
293	sxk3ng	25.13569877	40
294	sxk3nh	27.10510969	33
295	sxk3nk	26.32137362	40
296	sxk3nt	25.21426869	45
297	sxk3nu	24.78254031	43
298	sxk3nw	24.89222071	25
299	sxk3nx	24.58116634	25
300	sxk3ny	24.10725098	18
301	sxk3nz	23.78600101	22
302	sxk3p3	24.44282962	58
303	sxk3p4	24.76703273	51
304	sxk3p5	24.39328075	34
305	sxk3p6	24.04856122	58
306	sxk3p7	23.66352583	47
307	sxk3pc	23.07393007	49
308	sxk3ph	24.02927719	36
309	sxk3pj	23.67547169	48
310	sxk3pm	22.92300406	39
311	sxk3pn	23.33232818	44
312	sxk3pq	22.56848726	37
